2021-08-19 12:22:49.533  INFO [PensionerDetailService,,] 9656 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 16.0.1 on DESKTOP-UBQ4MP1 with PID 9656 (C:\Users\Sanyam\Desktop\CTS-final-viva\PensionManagement\pensioner-detail-microservice\target\classes started by Sanyam in C:\Users\Sanyam\Desktop\CTS-final-viva\PensionManagement\pensioner-detail-microservice)
2021-08-19 12:22:58.336  INFO [PensionerDetailService,,] 9656 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : STARTED - savePensionerData
2021-08-19 12:22:58.505  INFO [PensionerDetailService,,] 9656 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : END - savePensionerData
2021-08-19 12:22:58.768  WARN [PensionerDetailService,,] 9656 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-08-19 12:23:00.959  INFO [PensionerDetailService,,] 9656 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9081 (http) with context path ''
2021-08-19 12:23:01.137  INFO [PensionerDetailService,,] 9656 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2021-08-19 12:23:01.164  INFO [PensionerDetailService,,] 9656 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2021-08-19 12:23:01.178  INFO [PensionerDetailService,,] 9656 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2021-08-19 12:23:01.440  INFO [PensionerDetailService,,] 9656 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Started PensionerDetailMicroserviceApplication in 12.699 seconds (JVM running for 14.256)
2021-08-19 12:35:14.779  INFO [PensionerDetailService,,] 9656 --- [RMI TCP Connection(20)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2021-08-19 12:35:18.082  INFO [PensionerDetailService,,] 9656 --- [RMI TCP Connection(20)-127.0.0.1] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2021-08-19 12:35:18.824  WARN [PensionerDetailService,,] 9656 --- [RMI TCP Connection(20)-127.0.0.1] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
2021-08-19 12:35:19.855  INFO [PensionerDetailService,,] 9656 --- [RMI TCP Connection(20)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2021-08-19 12:35:19.898  INFO [PensionerDetailService,,] 9656 --- [RMI TCP Connection(20)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2021-08-19 12:36:11.938  INFO [PensionerDetailService,,] 11960 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 16.0.1 on DESKTOP-UBQ4MP1 with PID 11960 (C:\Users\Sanyam\Desktop\CTS-final-viva\PensionManagement\pensioner-detail-microservice\target\classes started by Sanyam in C:\Users\Sanyam\Desktop\CTS-final-viva\PensionManagement\pensioner-detail-microservice)
2021-08-19 12:36:11.941  INFO [PensionerDetailService,,] 11960 --- [restartedMain] c.PensionerDetailMicroserviceApplication : No active profile set, falling back to default profiles: default
2021-08-19 12:36:12.070  INFO [PensionerDetailService,,] 11960 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-08-19 12:36:12.071  INFO [PensionerDetailService,,] 11960 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-08-19 12:36:13.515  INFO [PensionerDetailService,,] 11960 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-08-19 12:36:13.590  INFO [PensionerDetailService,,] 11960 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 63 ms. Found 1 JPA repository interfaces.
2021-08-19 12:36:14.165  INFO [PensionerDetailService,,] 11960 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=ebb79450-7510-3fb7-b0c0-78609648303c
2021-08-19 12:36:15.288  INFO [PensionerDetailService,,] 11960 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9081 (http)
2021-08-19 12:36:15.302  INFO [PensionerDetailService,,] 11960 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2021-08-19 12:36:15.304  INFO [PensionerDetailService,,] 11960 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2021-08-19 12:36:15.463  INFO [PensionerDetailService,,] 11960 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2021-08-19 12:36:15.464  INFO [PensionerDetailService,,] 11960 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 3392 ms
2021-08-19 12:36:15.588  INFO [PensionerDetailService,,] 11960 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2021-08-19 12:36:15.845  INFO [PensionerDetailService,,] 11960 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2021-08-19 12:36:15.856  INFO [PensionerDetailService,,] 11960 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2021-08-19 12:36:16.330  WARN [PensionerDetailService,,] 11960 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Connection refused: no further information; nested exception is java.net.ConnectException: Connection refused: no further information}]
2021-08-19 12:36:16.677  INFO [PensionerDetailService,,] 11960 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2021-08-19 12:36:16.770  INFO [PensionerDetailService,,] 11960 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2021-08-19 12:36:17.001  INFO [PensionerDetailService,,] 11960 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-08-19 12:36:17.235  INFO [PensionerDetailService,,] 11960 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2021-08-19 12:36:18.202  INFO [PensionerDetailService,,] 11960 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-08-19 12:36:18.213  INFO [PensionerDetailService,,] 11960 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-08-19 12:36:18.319  WARN [PensionerDetailService,,] 11960 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2021-08-19 12:36:18.815  INFO [PensionerDetailService,,] 11960 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : STARTED - savePensionerData
2021-08-19 12:36:19.014  INFO [PensionerDetailService,,] 11960 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : END - savePensionerData
2021-08-19 12:36:19.222  WARN [PensionerDetailService,,] 11960 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-08-19 12:36:21.193  INFO [PensionerDetailService,,] 11960 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9081 (http) with context path ''
2021-08-19 12:36:21.342  INFO [PensionerDetailService,,] 11960 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2021-08-19 12:36:21.368  INFO [PensionerDetailService,,] 11960 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2021-08-19 12:36:21.381  INFO [PensionerDetailService,,] 11960 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2021-08-19 12:36:21.584  INFO [PensionerDetailService,,] 11960 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Started PensionerDetailMicroserviceApplication in 10.355 seconds (JVM running for 11.968)
2021-08-19 12:38:03.740  INFO [PensionerDetailService,,] 11960 --- [http-nio-9081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-08-19 12:38:03.740  INFO [PensionerDetailService,,] 11960 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2021-08-19 12:38:03.744  INFO [PensionerDetailService,,] 11960 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
2021-08-19 12:38:03.788  INFO [PensionerDetailService,368485747f2755f5,2a14edf9bdc95b4f] 11960 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2021-08-19 12:38:03.788  INFO [PensionerDetailService,368485747f2755f5,2a14edf9bdc95b4f] 11960 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : END - getAllDetail
2021-08-19 12:40:38.030  INFO [PensionerDetailService,e6926b8820de9773,b17ecc4a79b9b7f0] 11960 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2021-08-19 12:40:38.101  INFO [PensionerDetailService,e6926b8820de9773,b17ecc4a79b9b7f0] 11960 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2021-08-19 12:40:45.457  INFO [PensionerDetailService,680b70c9626b150b,290d7188e2db6e43] 11960 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2021-08-19 12:40:45.471  INFO [PensionerDetailService,680b70c9626b150b,290d7188e2db6e43] 11960 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2021-08-19 12:41:26.725  INFO [PensionerDetailService,15455f131e97a272,29d919372975b2d5] 11960 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2021-08-19 12:41:26.742  INFO [PensionerDetailService,15455f131e97a272,29d919372975b2d5] 11960 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2021-08-19 12:41:42.194  INFO [PensionerDetailService,fc4b3e859fdfffb1,6cf28b92d40db51c] 11960 --- [http-nio-9081-exec-6] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2021-08-19 12:41:42.214  INFO [PensionerDetailService,fc4b3e859fdfffb1,6cf28b92d40db51c] 11960 --- [http-nio-9081-exec-6] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2021-08-19 12:41:45.346  INFO [PensionerDetailService,d886acafc17c34d4,8109213435eb091b] 11960 --- [http-nio-9081-exec-7] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2021-08-19 12:41:45.347  INFO [PensionerDetailService,d886acafc17c34d4,8109213435eb091b] 11960 --- [http-nio-9081-exec-7] c.c.c.PensionerDetailsController         : END - getAllDetail
2021-08-19 12:42:09.020  INFO [PensionerDetailService,4b25324ea6a70a41,77c118a7fb6bbccf] 11960 --- [http-nio-9081-exec-8] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2021-08-19 12:42:09.040  WARN [PensionerDetailService,4b25324ea6a70a41,77c118a7fb6bbccf] 11960 --- [http-nio-9081-exec-8] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: employee with aadhaar number not found]
2021-08-19 12:42:09.339  INFO [PensionerDetailService,d39c156ce1927dc4,e5b89a08de4f7aba] 11960 --- [http-nio-9081-exec-9] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2021-08-19 12:42:09.353  WARN [PensionerDetailService,d39c156ce1927dc4,e5b89a08de4f7aba] 11960 --- [http-nio-9081-exec-9] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: employee with aadhaar number not found]
2021-08-19 12:59:48.589  INFO [PensionerDetailService,,] 11960 --- [RMI TCP Connection(32)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2021-08-19 12:59:49.875  INFO [PensionerDetailService,,] 11960 --- [RMI TCP Connection(32)-127.0.0.1] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2021-08-19 12:59:50.325  WARN [PensionerDetailService,,] 11960 --- [RMI TCP Connection(32)-127.0.0.1] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
2021-08-19 12:59:51.341  INFO [PensionerDetailService,,] 11960 --- [RMI TCP Connection(32)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2021-08-19 12:59:51.421  INFO [PensionerDetailService,,] 11960 --- [RMI TCP Connection(32)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
